dept,date,interest,reviewText,helpcount,nothelpcount
Economics,11/29/2006,Low,Easy class lecture notes all posted online so its ok if you miss a class or two or threeexams are indentical to homework and it is all layed out in the lecture notessometimes he can be distracting with all his different arm motions and such but its not too bad,0,0
Fine Arts,12/23/2010,It's my life,Funny guy He is cranky at times and you do the same steps over and over Hell say well start from where we left off but you start over We spent 2 months on the waltz and had only couple days at the end of the semester to learn swing and tango Very easy to get an A but if you want to actually learn dancing I would take a different professor,0,0
Mathematics,12/15/2009,It's my life,Good teacher Tests are easy and straightforward the homework is light and he knows what hes talking about He also has an amusing personality and mannerisms that make him a fun professor to have,0,0
Communication,03/12/2007,It's my life,Hes cool Very interesting material and a great teaching style Every class was fun Hes a little elusive though and difficult to meet with Luckily the tests are easy and dont require a lot of elaboration outside of the regular class time,0,0
Education,04/17/2012,Low,I do not understand why everyone is so excited about Joyce Yes she is energetic and fun But Her lectures are basically about nothing exams questionchoice of answers are bizarre and confusing Because of that class does exams poorly However she adds the points After that grades come up,0,0
Chemistry,11/10/2007,Sorta interested,Goes very fast tests are completely different than homework quizes and practice tests Very hard,0,0
Classics,03/14/2008,Low,A very quirky guy his lectures are kinda boring unless youre really interested in ancient greek art  His tests are ridiculous  Random questions that you have never heard of before  You can get Ds on both tests and still get an AB tho,0,0
"Gender, Women, and Sex Studies",12/03/2013,Low,She wants class participating and takes attendance every class Her grading isnt to bad but definitely not a breeze of a class,0,0
Physics,11/06/2006,Low,He seems like a nice guy but his lectures are boring and pointless  He never shows you how to do problems and you are then confused with the homework  However the curve in the class makes things better,0,0
Child & Family Studies,12/08/2006,Sorta interested,Seriously the easiest class youll take All you have to do is study the practice tests that she provides and youre set Not much homework Has lots of boring stories but a very nice lady,0,0
Mathematics,12/22/2014,Sorta interested,All tests are pretty clearcut She uses the format of the practice exams so look at those Also look at tests from the year before because she tends to repeat questions ,0,0
Religion,12/05/2009,Really into it,Very interested in what he teaches requires high writing skills for papers Brings relevant funny stories into the lessons Very nice and very willing to listen,0,0
Engineering,12/20/2007,Sorta interested,Everything made sense in the lectures and homework wasnt too bad  The exams were very long and pretty difficult  Except for the final but at that point he felt sorry for us after we all screwed up both the midterms,0,0
Business,04/08/2014,Sorta interested,Teacher is weird at first but you warm up to him  Hes very concerned with his students and spirituality along with how they do  Doesnt have good handwriting at all and moves very quickly at times in class on hard subjects and spends a lot more time on optional or easier subjects such as personal finance  Time could be better allocated,0,0
Chemistry,09/23/2004,Really into it,I could imagine she would be good for higher level chem classes but she does not remember a good amount of the core material for chem 121 she is a good professor just not for material that she doesnt remember how to do,0,0
Sociology,05/29/2013,Really into it,Be detailed and make clear points on your essays and youll get a good grade Quizzes are multiple choice and she makes them tricky but throws out ones that everyone did bad on Theres a weekly group project thats easy and the same as whats on the exam Go to class only on those days read the book and youll get an A,0,0
Microbiology,01/07/2011,Really into it,This class is hard but it will force you to learn a lot He offers A LOT of extra credit opportunities throughout the semester so take advantage of that He always sticks around to answer questions after class His grading is quite fair Weekly quizzes from lecture and reading so class attendance and reading the chapters are essential,0,0
Literature,02/24/2005,Meh,This man is an idiot and i feels bad for him because i do not believe he has every truely enjoyed life for what it is,0,0
Religion,12/24/2011,Sorta interested,Brother Merrills a decent professor He can get off on tangents for half of the class but usually gets back on track without you losing any important information Remember to do all your quizzes and insight papers as he wont always remind you and use the review sheets he gives as they are extremely linked to the tests,0,0
Writing,08/02/2012,Sorta interested,Alexis is a pretty good teacher  She gets to know the students and does her best to relate to each one of them She is a teacher that will work with the student  The down side to her class is that she does not believe in the A paper  As said by her many times a B on a paper from her class is really good,0,0
Biology,04/07/2011,Really into it,I felt that the course material was great  I felt that I learned and was interested in the topic taught  Professor Holyoak is a great teacher  His tests are not hard but a little deceiving with wording  With careful attention anyone can succeed in his classes,0,0
Science,12/14/2010,Sorta interested,I enjoyed him as a teacher he really showed how physics can be applied in real life by giving many examples and being quite funny However his teaching ability can be brought into question without prior instruction in physics I would have been lost Exams are also quite hard and partial credit is barely given Overall average,0,0
Physics,01/17/2007,Really into it,Often times he would expect knowledge of things that hadnt been covered in the class even though it was an intro class Most days he also didnt cover all of the lecture some days we barely got into what we were supposed to,0,0
Business,03/24/2009,Sorta interested,It all depends on whether or not you want to take a class where your sole grade is the final If you do then by all means take Blackburn If not then you are better off taking the class with Irvine or Weinstock No reason to go to class except for the practice exams If you memorize the 3 textbook chapters for the final you should do well on it,0,0
Physics,11/07/2011,Low,Hirschmann tries to keep the class entertaining and he does a lab about every day because he knows most people are just taking this class to get a GE out of the way I wouldnt say hes the best teacher Ive ever had but knows his subject The readings about a chapter before every class which really isnt that bad GO TO THE TA REVIEWS,0,0
Religion,08/05/2006,Sorta interested,The man is brilliant but has totally unfair expectations for his class Hell expect you to memorize every word he says and he goes through the material so fast that there is never time for class discussions Oh and the tests are horrible,0,0
Physics,01/21/2007,It's my life,He had a fairly exciting but ultimately useless lecture  I didnt even go to lecture the last 3 weeks I actually enjoyed the material by itself though so I would have enjoyed it more if he actually taught more  I guess hes pretty good 1 on 1 but I never went to his office hours  I liked my TA much better for that,0,0
Mathematics,05/11/2012,Sorta interested,Not nearly as bad as some other math professors He speaks good English covers material fairly thoroughly Because he never taught the course before hard to know what to expect on exams but Id recommend him over a lot of other teachers,0,0
Mathematics,01/04/2008,Sorta interested,Smart man Will make you interested in math A very vibrant exciting person Exams are reasonable,0,0
Engineering,07/24/2010,Low,Dr J is awesome  He could care less about teaching but the class is easy as can be  What could be better,0,0
Mathematics,01/22/2013,Low,if you have dr adams DO NOT PURCHASE THE BOOK because all the homework and practice problems are online also try not to even take adams class because he makes you watch online videos which drone on and are terrible  And he exlpains some things awkwardly I had already taken the class in hs and was retaking it,0,0
Materials Science,10/28/2010,Meh,In addition to all the comments other people have made this year he decided to teach what is basically an online class 3 of the 2 lectures have been canceled in favor of videos The one lecture that he does give goes over most the stuff you needed to know to do the homework due at the beginning of said class making us basically teach ourselves,0,0
Biology,07/14/2011,Really into it,Brother Carter is no doubt a way cool guy hes very understanding and open to questions in class but he doesnt do too much overview on his test mainly because he doesnt write them I hear hes a pretty good teacher in Biology and just fills in as a teacher for this class so for a fill in hes a lot of fun and cares enough about the materia,0,0
History,10/30/2005,Sorta interested,He is boring,0,0
History,11/07/2007,Meh,SUPER hard class study time for tests run about 5 hours No joke Hes pretty entertaining as a lecturer but my TA graded really hard on the essays and the average test score was about a 60 This class is insanely hard Unrealistically so,0,0
Materials Science,05/29/2012,Low,One of the worst professors Ive ever had His tests are difficult and he gives no partial credit  His lectures are alright but what he has the worst blackboard organization Ive ever seen  If you ask any question in lecture he will put you down in front of everyone and refuses to offer any help in his very limited office hours if he shows up,0,0
Agriculture,12/20/2011,Low,Dr Terry is very passionate about the subject he teaches However I did not love this class He concentrates on random science that is not even covered in the textbook It isnt hard to do well on tests but it is hard to be exceptional especially if you have no science background,0,0
History,06/12/2013,Low,I did not like Brother Peck His teaching style and attitude about everything just bugged me but I think it was all just personal Everyone else seems to enjoy the class It was hard at first  dont forget your Iclickers Just use the study guides for the test and you will be fine Once you get into the routine of the class it is fine,0,0
Mathematics,11/13/2008,Really into it,Good guy he began teaching our class mid semester because our normal professor never showed up due to headaches Goes really fast through content so the dumb kids cant keep up Talks a lot but has a good heart The tests are moderate if you do your homework and master the practice test youll do fine Assigns a lot of homework,0,0
Chemistry,03/20/2005,Really into it,Sorta thought of himself as a rockstar which was kinda ridiculous but funny like he cancelled the last day of class to pass out signed posters of himself  I loved the experiments he did in class I think he genuinely cares about teaching and I liked the classs organization,0,0
History,12/10/2006,It's my life,Interesting professor  some lectures are good and make sense but others have no structure and he will ramble for 30 min  Not many graded assignments so make sure you know your stuff for the few testspapers,0,0
Physics,03/10/2008,It's my life,If you already know a lot of basic physics and want to be entertainedtake this class He is awesome Very funny I really enjoyed lectures but didnt actually learn anything I already knew all the stuff but went just to be entertained I wouldnt reccomend if you dont already understand physics,0,0
Religion,10/30/2005,It's my life,Bro Parrish is a great guy  Tests werent too hard and he is so funny,0,0
Animal Science,03/30/2014,Really into it,Bro Orchard is one of my favorite professors Ive had here Theres a lot of busy work involved in this class but its super easy and he makes things interesting Very lenient on assignment content He really cares about everyone and it shows when he teaches As long as you come to class and be open minded youll love it Take his class for sure,0,0
Biology,03/25/2010,Really into it,Dr Holyoak is a good teacher but you have to be self motivated in his class He will not baby you along His preclass quizzes are pointless He likes the class and is enthusiastic I would take another class from him he is a great guy,0,0
Biological Sciences,01/27/2014,Low,Do not take Bio 1010 It is a very heavy workload and the weekly reading quizzes are absurdly difficult Dr Price herself while VERY knowledgeable has the most annoying OhioEastern accent and talks like shes lecturing to small children Also the class focused too much on the biology not on the ethics I expected it to Disappointing class,0,0
Anthropology,05/12/2005,Sorta interested,I thought the class was pretty interesting However he requires a bunch of reading and the reading is what the daily quizzes are on The tests werent that bad as long as you go to the reviews and take good notes,0,0
Biology,02/23/2012,Low,Okay for everyones future sake sure he is a very nice cute teacher who I can say honestly cares about each student however if you want to be teaching yourself for an entire semester on a subject that is very daunting in itself then this is what will happen if you take from him  Very hard tests that he doesnt even prepare you at all for,0,0
Human Development,01/05/2006,Really into it,He could answer anyones question about any gospel related question He knows the scriptures and the journal of discourses like the back of his hand However I found his class disorganized which made it hard to go to There were no real grading guidelines which some people may like but I just didnt work well with his style of teaching,0,0
Religion,04/28/2005,Really into it,Difficult class  She is a decent teacher very knowledgable but tests are very detail based on lecture which she flys through  Take very good notes on everything everything is fair game  Details are important,0,0
Health Science,11/03/2011,Really into it,Online lectures extremely boring She has a very monotone voice and doesnt seem excited about anything she teaches Quizzes are timed very tough and she asks very detailed questions so you must be able to search through your book quickly in order to answer them even if you study before I would NOT recommend this professor,0,0
Biology,12/09/2009,Meh,Not an easy class,0,0
Religion,12/17/2012,Sorta interested,Hiltons a very nice guy but his tests are ridiculously hard and covered arbitrary details about geography and stuff like that  All of the tests were multiple choice,0,0
English,12/07/2007,Meh,Brother Murdock thinks he knows everything and always talks about how much class discussion we have but he ends up talking the whole time  Participation is 30 of your grade and he actually writes it down every time you talk  His test are extremely hard  Beware,1,0
Anthropology,04/07/2005,Really into it,Inconsistent Sometimes his questions are easy other times impossible His tests can be awfully hard Wastes a lot of time showing movies so if you like to waste time hes great Goes on tangents in the middle of giving notes so you have no idea what to write makes notetaking hard,0,0
Mathematics,01/05/2007,Meh,Grad student Hes majoring in math not math teaching which is evident Nice and very willing to help but copies definitions out of the book onto the board Explanations and demonstrations of uses of identities are limited and include things like quotthis is very important because you can use it for lots of thingsquot Then hed move on,0,0
Philosophy,08/31/2006,Really into it,Rambled and wrote illegible notes and scribbles on the board Spent more time getting chalk all over herself than teaching The class was frustrating because it was almost wordforword my high school philosophy class Even though I have negative things to say about her she isnt that bad of a teacher,0,0
Geography,12/21/2005,Sorta interested,this is a lot of work for a 3 credit class especially for a 101 level,0,0
Health Science,01/01/2008,Really into it,I know many people try to warn you from taking a class from Bro Lamph but his classes are doable He is intimidating at first and does make comments to students that you could take offense to but he doesnt mean to do that He cares about his students and if you work hard hell see you are a good student Make sure you are prepared for class,0,0
Theater,12/17/2007,Sorta interested,Joanne will push you very hard Joanne is great if you are becoming a theater major if not then avoid Joanne trys to do class activities that are fun I personally was not into it A lot of writing Directions are not clear too long and unorganized Joannes slogan is quotBe specificquot You act in this class It does not say that on the sylbus,0,0
Religion,04/28/2010,Sorta interested,He is a nice person but I didnt get too much out of the class He had good information but it just didnt engage me Its an easy class Watch out for his end of semester morality quiz He takes off 30 points if you werent 100 honest to teach a lesson Wasnt quite appropriate IMO,0,0
Art History,08/14/2008,Meh,Prof Peacock is intense and passionate so her lectures are interesting But her essay tests are extremely difficult to study forbe prepared for 20 hours the weekend before If you have a bad TA you get really low grades so make sure to be friends with Peacock It helps to submit essays early and use her suggestions She REALLY loves art,0,0
Chemistry,04/03/2010,Sorta interested,She is extremely loud and terrible to listen to  Take it from someone else for that reason alone  One funny thing about chem 105 is that when people introduce themselves 90 of the class says theyre going to medical or dental school would love to here their plans at the end of the semester lol,0,0
Mathematics,04/10/2013,Meh,His class is set up strange and is really frustrating I didnt enjoy it at all Hes a nice person really friendly but this class is not very good No one I have talked to actually learned anything from it,0,0
Business,03/30/2005,Meh,Fairly hard class but the teacher makes the material as interesting as possible and the class as best as it can be  Fairly good teacher for a bad class,0,0
Political Science,11/05/2013,Low,The class is fairly interesting Like what was said by other students the book material rarely is on the test He is very knowledgeable in the subject Tests are easy as long as you look at the study guide and study a fair amount Pretty easy class,0,0
Economics,04/13/2006,Really into it,Easier tests than Kellys but the curve is tougher  I also wish he knew how to focues a projector since half of the time he leaves it to autofocus which doesnt do anything and by the end of lecture I cant see straight,0,0
Mathematics,12/15/2014,Sorta interested,I feel like Chahal often gets a bad rep that he doesnt deserve He truly cared about the students was always willing to help He was very good at clarifying things in the textbook and would repeat important things we needed to know for the tests And despite what a lot of people have said he speaks English perfectly well he just has an accent,0,1
Physics & Astronomy,03/27/2012,Meh,When it comes to physics at the UofM students usually have to rely completely on the TA for instruction Barun was very helpful at clarifying the information presented in lecture I would definitely recommend him to future students,0,0
History,07/02/2009,Sorta interested,Midterm and Final almost all from lecture If you take good class notes and study them well you will do great Three papersI got my best grade on the last one and basicaly I found a book that would be easy to argue against but the other two assignments are hard and require high quality four to five page reports TAs grade everythingGood teacher,0,0
History,12/04/2004,Sorta interested,lecture an absolute bore75 of stuff u dont need to know TAs do EVERYTHING and everything is in accordance to what they want Horger has nothing to do w u except his rambling on in lecture appears a harder class on the surface then it really is just participatelisten in recitation  ur fine,0,0
Psychology,03/03/2013,Low,Bro Webster is a great person and you can sense how passionate he is about the material but I didnt enjoy class I felt like it was too much busywork He takes attendance Like I said hes a really cool person but every day in class he would wait for us to ask questions about the material and basically we were teaching ourselves,0,0
Psychology,12/18/2011,Really into it,Good lecturer and easy to follow but the exams were ridiculous  The questions were not very clear and as a whole the exams were very dense  I would also suggest taking 450 with Coe instead  That class was better,0,0
English,12/01/2005,Low,Talks pretty fast and some of his points are a little hard to understand  Says umm way too much,0,0
Agriculture,05/28/2007,It's my life,he is interestingto say the least  youll really get tired of hearing quotIt all makes sensequot and quotstructure  functionquot  His tests are like finals on how you may need to prepare for them I had expected my background to make this class easy but you need to know everything he tells you  Dont get me started on his pop quizes,0,0
Sociology,01/17/2005,Really into it,Hard exams and uber boring lectures,0,0
Political Science,06/27/2005,Low,He is a good teacher i guess but his test can be very difficult,0,0
Political Science,07/05/2008,It's my life,Professor Marquez is one of the best that Ive come across in the political science department He is extremely passionate and intelligent I would recommend his classes to anyone willing to learn Earning an A took time and effort,0,0
Psychology,04/15/2005,It's my life,Tests are hardquestions are ambiguous and irrelevent to the point of the studies which they are about,0,0
History,05/15/2010,Low,Not a horrible class but not that interesting The lectures are disconnected and a little boring One half of the semester we talked about Native Americans and the rest of the time we talked about random things like Bob Dylan The tests were pretty easy essay based and the final was take home Its a pretty easy class but you still need to work,0,0
Physics,03/05/2014,Really into it,Brother Hansen is a very good professor He has a very different kind of sense of humor but he is funny He is helpful and understanding Allows for a lot of extra credit opportunities,0,0
Speech & Hearing Sciences,09/21/2011,Sorta interested,She was confusing to listen to during lecture but was laid back and easy to get along with Learned more from studying the bookpowerpoints than I did from her lectures But class was overall easy to get an A in,0,0
Biology,11/07/2005,Meh,If you like sleep this class is for you Your grade is dependent on you TA study,0,0
Anthropology,04/23/2006,Really into it,This is a really easy and interesting class  You dont need to go to lecture since the notes are online  There is one paper for the class and two tests  The professor has a thick accent and is kind of hard to understand but hes a really cool guy,0,0
Engineering,06/04/2014,Sorta interested,The HW is annoying to do since you have to go through all of his videos My recitation was not much help since it was on a Monday and the HW was collected on Fridays so he had not gone over the material yet Labs are challenging but doable and the exams are identical to previous years Overall a pretty easy class,0,0
Psychology,04/27/2009,Sorta interested,I disagree with most of what is below are these comments from quotrealquot students63 The tests are HARD Dr Ridge is cool but hes not the best teacher He is pretty entertaining though His test questions are worded incomprehensiblyso even those who know the material score in the 60s,0,0
Biology,12/16/2014,Sorta interested,Prof Holyoak is a good teacher He really enjoys what he is teaching and that helps a lot He doesnt give you study guides but if you download the PowerPoint slides he puts up on ILearn and take notes in them you will be fine The online text is not that necessary if you take notes on the PowerPoint slides,0,0
Chemistry,11/30/2004,Sorta interested,this class was kinda difficult and then the 2nd midterm came and it was like a whole other class it was nothing like the sample exam the first midterm was exactly like its sample and it was by far the hardest test i have ever taken,0,0
Economics,04/23/2013,It's my life,Accent lol,0,0
Science,10/14/2013,It's my life,He goes really fast and tries to get multiple lectures AHEAD so he can quiz us on more information at once His quizzes for his part of the class were not cohesive with the practice problems he gave us so you had no clue what was coming,0,0
Political Science,03/15/2006,Sorta interested,From what Ive read of her past reviews she has definitely improved in how she teaches this class Shes a fair grader and taught at a 100 level I wouldnt object to taking another class with her,0,0
Economics,05/22/2005,Sorta interested,A great professor I learned a lot from her lectures,0,0
Mathematics,01/26/2012,Really into it,I had McGinnis as a TA and he was very helpful considering I had a terrible lecturer He is very smart and knows a lot about math Quizzes and amount of homework problems were fair The only thing that disappointed me was that he sometimes would try to answer a question with a quotsimilarquot problem that ended up looking nothing like what you asked,1,0
Chemistry,04/16/2007,Low,Wow  Thats all I have to say  I have NOT opened my textbook once I just memorized old exams and I have gotten 100 on all 10 quizzes so far and 100 on both exams so far  Take him seriously,0,0
Languages,04/05/2008,Really into it,I was very disappointed in this class We started out doing grammar stuff but then it seemed like she got bored and all we did was talk about politics and stuff every lecture I felt like I was wasting my time No tests but shes really picky about stupid things in the assignments like how we staple the papers,0,0
Science,04/22/2006,Low,not a bad class  Dr Allred is very approachable and wont treat you like trash  Tests are tough especially the final but the grading scale is very favorable  Lectures are sometimes pointless but can be interesting,0,0
Mathematics,10/23/2007,It's my life,You can tell he knows what hes doing but he just doesnt know how to teach it He assumes everyone in the class already knows what hes teaching and skips around in lectures Its an easy class if youve already taken calc but I would definitely avoid it if you are learning fresh,0,0
Psychology,06/07/2008,Low,dont need to go to lecture just do her outlines and read the book and youll be fine however she does give a lot of helpful hints during class from what i hear i went to class 4 times the whole quarter and got an a the practice tests are not a good indicator of how well youll do on the real thing becuase they cover different material,0,0
Psychology,12/16/2010,Really into it,A lot of people really like this guy for whatever reason but he turned out to be the worst professor Ive ever had The class wasnt particularly challenging but I couldnt stand going to lectures He seemed very condescending in my opinion and made you feel stupid for asking questions He was very full of himself and looked down on students,0,0
Psychology,07/22/2010,Really into it,Brother Lowry Is a decent teacher and you will do pretty well in his class if you take good notes and listen Hes not too friendly when it comes to helping students I had a 8947 at the end of the semester and needed 03 to get an A When I asked him if I could do something to boost my grade he would even discuss it,0,0
Mechanical Engineering,03/16/2006,Sorta interested,He knows how to teach He makes the material clear yet his test are very difficult and he is very picky grading,0,0
Mathematics,01/31/2012,Really into it,What can I say about Karel mans a genius Prikrys Trickries will keep you on your toes whilst blowing your mind He will always say hello no matter when you had him in class and turn around and smile to make sure you understand the calculus  Ummma lot He hands out awesome notes and is always willing to help even if you cant understand him,0,0
English,01/22/2014,Low,The class required a lot of reading a new play each week and two page papers every other week No tests but two 6 to 8 page analytical papers Wasnt too hard but he doesnt use a gradebook so I had no idea what my grade was until the end of the semester,0,0
Engineering,02/22/2010,It's my life,Dont bother taking a class with him if you have to take one later which builds on the knowledge taught by him  He is really easy and a really nicefunny guy so if youre looking for a good grade and a good time you should take him but the information he teaches is not sufficient for you to enter the next class,0,0
Biology,12/14/2011,Really into it,He is nice but not excited about the subject,0,0
Geography,07/02/2013,Sorta interested,I thought this class was very challenging but he honestly isnt that bad of a professor Its passable just difficult If science is particularly hard for you I would avoid him,0,0
Political Science,01/23/2006,Meh,Boooooooooooooooooring The guy literally made me fall asleep in the front row,0,0
Economics,12/09/2006,Sorta interested,Dunn was a very nice professor  Lectures were boring and some of the material was hard to understand The TAs provide minimal help but they do their best If you want to succeed in the class read the book as much as posisble and dont be afraid to ask for extra help,0,0
Chemistry,04/06/2008,Sorta interested,Best OChem teacher ever I had Tolman for OChem 1 and his class was hard Watson is not even half as hard Very straightforward when lecturing Tests are really easy you get to have a notecard too write small and you can fit all the reactions on it He is really nice and super funny so time flies during lecture ,0,0
Sociology,02/19/2009,Sorta interested,Im not sure what everyone else is talking about but I find him to be a pretty awful lecturer He pretty much just talks AT youbasically reading word for word his notes barely looking up and saying quotumquot every five words Its incredibly frustrating All in all the class may be easy but these lectures are terrible,0,0
Management,09/10/2012,Really into it,Be prepared for personal stories Keeps the lectures interesting The group projects are alot of work and time consuming If you want to get an A you need to show up for class I would take him again for another class,0,0
Asian Studies,12/04/2008,Meh,Took this class on a whim great bc it fulfills lit and comm b credits Atis is a funny old woman very knowledgeable and important in the field however the class is scattered and hard to follow Her stories are wheezy and cute though you cant help but chuckle Easy A though I d take it again,0,0
Business,12/15/2004,Sorta interested,Lectures are boring wierd having to do all lessons from the book almost like an online class Tests are not easy make sure to do quizes worth a lot of points,0,0
Religion,12/29/2004,Sorta interested,Entirely too easyalmost insultingly easy  If you like fceling like youre back in a Sunday School class for 14 yr olds then take him,0,0
Physics,08/11/2008,Low,As I said on my comment sheet at the end of the semester Astrophysicist  teaching intro Physics NO BUENO  He is obviously very smart and when equations are he expects you to understand it fully,0,0
Political Science,12/04/2009,Really into it,Dry humor that can be pretty funny once you get used to it Must attend class since he usually has an inclass quiz at the beginning of each class There are only 2 tests the midterm and the final The hardest part of the class is that the TAs are harsh graders,0,0
Mathematics,01/03/2011,Really into it,Found him extremely difficult to understand Eventually gave up trying to make sense of what he was saying during lectures and relied on discussion sessions I only survived because my TA was pretty good and because the exams were pretty easy,0,0
Theology,09/11/2009,Really into it,very very smart very opinionated a little too authoritarian when it comes to essays but he prob figures we are too uninformed to write on original topics,0,0
Economics,04/12/2010,Meh,VERY BORINGHate the classavoid if you can,0,0
Biology,07/18/2011,Sorta interested,Brother Holyoak is an okay teacher  The class is easy and the work too but the tests can be hard  I didnt always feel that we talked about and were tested on what we had to read  There are weekly group meetings  It is hard to stay involved with the discussion sometimes but he is very nice and willing to help,0,0
Philosophy,05/23/2013,Sorta interested,Sidelle is an above average instructor He explains things well but takes forever to do so Because of his lengthy rambles it was hard to pay attention for entire lectures Exams were pretty straightforward The workload was quite small for a 4 credit class Only 2 12 page papers DONT BUY THE TEXTBOOK ONLY BUY THE COURSE PACKET,0,0
Geography,04/06/2007,Sorta interested,I definitely recommend him for Geography 101  If you dont know what to expect on the test you could read the review sheet duh  Class is so easy plus Br Monson is awesome  The stories and jokes give the class a more relaxed atmosphere its fun,0,0
Economics,05/14/2009,Sorta interested,He spends lecture making typos and confusing himself  THEN he goes and gives weekly homework very very loosely based on his lectures However if you can master the HW the exams will be easy,0,0
Humanities,08/21/2005,Low,I would recommend this class to anyone  you can go once a month and not miss a step,0,0
Geology,05/30/2008,Sorta interested,Tough class I studied hard and never got above a c on a test but because of curves and little assignments I ended up with a b Great teacher and loves the subject,0,0
Biology,01/30/2008,Really into it,EXTREMELY boring lectures I didnt pick up the book until before the final and it helped a little Tests cover ABSOLUTELY NOTHING from lectures Study previous tests he makes available online its the only way to pass 4 tests no reading no discussion,0,0
Humanities,08/17/2007,Low,She was pretty fun at the start but started to drag at the end Id ask her to review some things wed turned in and she ended up marking me down more for things Id gotten right offended63 no clue but I wouldnt recommend her,0,0
Chemistry,09/03/2008,Really into it,Very good Prof His exams were somewhat challenging at times but he was always there for questions and extra help if he was called upon by students His lectures were pretty comprehensive and found it helpful to attend optional lectures on fridays,0,0
Religion,12/11/2009,Really into it,Bro Whitchurch was a great guy and and kept class interesting for the most part The class was fairly easy the only assignments other than reading were Journals,0,0
Humanities,06/18/2011,Sorta interested,He is a really easy teacher and you learn a lot but he is boring No test in his heroic journey class met some great people though if you want an easy A take him,0,0
Languages,12/09/2012,Low,He has a great sense of humor and jokes with students a lot  He is a great guy  His grading is very testcentered so if you do bad on one test there isnt much you can do about it but he explains things well you just have to memorize lots of things,0,0
Humanities,11/12/2007,Low,Shes a smart teacher who knows what she is talking about She assigns a lot of reading and expects response papers on a lot of them You have to memorize art and buildings knowing the title artist and locations Shes a sweet lady shes just tough,0,0
Philosophy,04/02/2009,Sorta interested,You might as well not buy the 100 textbook for this class  Not only do we barely use it but gibson goes over the readings in their entirety with a detailed analysis which is basically the same thing you with have to say on the test  The tests btw are take home so if you out the time into it you should do OK one tip lectures are neccessary,0,0
Business,12/09/2014,Really into it,Keeps class interesting You have to study hard if you want a good grade,0,0
Languages,12/20/2012,Really into it,His syllabus was very clear and he rarely strayed away from it so everyone always knew what we were doing in class that dayweek  The three hour lectures got to be long but thats not his fault  Overall good teacher,0,0
Psychology,11/11/2006,Really into it,This man is ridiculous  He is so full of himself and makes such inappropriate comments that you just have to laugh at the guy  Besides a few very specific questions from the book the exams are not too bad  There is also an extra credit quiz to boost your grade  Overall I enjoyed the class and would recommend it,0,0
Economics,05/11/2008,Low,Hes a nice guy but the ONLY way I got an A in this class was through a great TA and a tutor that I met with multiple times a weekyou have to try really hard to do wellread the book get a tutor and go to office hours,0,0
Mathematics,12/19/2004,Really into it,Very difficult  The tests test time management and testtaking skills not knowledge of the material  Expect 15 hours of HW per week due each week in addition to test prep  Good teacher during lecture  Look forward to quotGenesisquot lecture,0,0
Literature,04/15/2006,It's my life,I learned so much about the gospel in the class and my entire perspective and way of thinking changed  I dont feel like I learned much about complit though because there is an EXCESSIVE AMOUNT OF READING and you cant possibly discuss it all  Tests were impossible and you will fail them but your grad will be okay  I got a B,0,0
Psychology,01/30/2015,Low,All you did was read straight from the book and answer quiz questions based on sentences right from the book It was basically a memorization game ,0,0
Information Systems,08/24/2011,It's my life,Good class  Gives lots of lab time and sticks around to help us out with the assignments  Knows a lot  One of the only teachers that teaches this classso checking his rating to decide if you want him for 440 is pretty pointlesshaha,0,0
Computer Science,12/19/2004,Really into it,Overall good class  Things were explained clearly  Sometimes however the lecture did get quite boring  Fair amount of homework and programming assignments not too much not to little  Exams were what I expected,0,0
Humanities,06/18/2014,Meh,I hated and feared history before this class She is a goofball and made the material interesting I wish I would have taken her for 201 instead of HIST 201 A good amount of reading and writing but I expected that from a history class Definitely take her if you are looking to get your history credits out of the way She is awesome SPRING Term,0,0
Marketing,01/08/2007,It's my life,Makes the class look hard but I dont think anyone got anything lower than a B on anything Makes Participation mandatory and says their are no wrong answers and then laughs or makes fun of you if it is not what he wants to hear,0,0
Art History,01/19/2007,It's my life,This class was something awfulA straightA student and loving movies coming in i had high expecations Little did i expect a C He gave us the 63s before the exams three essays each exam so youd think its easySo i used notes and the book to write down answers then memorize them and put them on the tests yet i got a C he never explained why,0,0
Chemistry,06/12/2008,Sorta interested,Most frankly Woodfield is extremely arrogant He is a very intelligent man but this seems to have gone to his head His tests are long and difficult and for some reason he has a personal vendetta against multiple choice questions I was happy when the class was over,0,0
Mathematics,01/03/2008,Sorta interested,I had breezed through AP Calculus in high school with an A however I had to do hours of studying daily to maintain that grade in this class The test questions are more difficult than the homework but if you study the webwork problems and webwork review you should be okay Also the extra credit projects are worth your time,0,0
Civil Engineering,01/08/2008,It's my life,Somewhat frustrating because he teaches strictly with power point and without class involvement In other words lectures were somewhat worthless He is a very nice guy and whenever I went to his office he was very open to talk to me give advice and help with letters of recommendation etc,0,0
Sociology,03/04/2005,Really into it,The class started off pretty interesting but after the first exam it felt like it was very repetitive That said if you put up with the repetition its probably one of the easier As out there The books were the most interesting part of the class,0,0
Biology,07/19/2011,Really into it,I enjoyed his class They are kind of dry but still interesting He is a good teacher and will answer questions you ask He relates what he teaches to the real world Pretty down to Earth The homework and quizes were not hard Tests were harder than expected,0,0
History,12/01/2005,Meh,Nice lady okay teacher Class is easy if you just memorize the review sheets She shows a lot of movies and trails off on her own little tangents,0,0
